split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5703436264752498,0.7824655122929661,0.9533915187714778,0.5262854906606915,0.7960826644972077,0.9917925524038024
1,0.562009069313473,0.7867679397448242,0.9462083257421362,0.5146509626860367,0.8189972323061878,1.0038979920598763
2,0.5616748809572145,0.7877921584361377,0.9483553964479913,0.518612271817374,0.8095357867915327,0.999792804252438
3,0.5706101042320803,0.7747965600085716,0.9403032354927608,0.5234043661041761,0.7962208500552794,0.99480401415922
4,0.5409710912051371,0.7963838767633101,0.9712493127269605,0.5062560168889503,0.8155411227118287,1.0125428410567205
5,0.5692696939618389,0.7765752978130543,0.940880266256383,0.5199755482152435,0.810761711283666,0.9983761080927483
6,0.5897774221495544,0.7619269014784771,0.9185963621826088,0.5329605926724077,0.7946328887936278,0.984780096807774
7,0.5701411050614826,0.7816401137957532,0.9403350624872475,0.51677948046452,0.8125149652472827,1.0016942556943993
8,0.571660084008308,0.7751855245301846,0.941743965063668,0.526844573009249,0.8000159313040196,0.9912071181392389
9,0.5832760799372511,0.7574111675615417,0.9281534539027838,0.5339822588093129,0.786460698097572,0.9837023854911293
