split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5292666566902818,0.8062297603320768,0.9794272854935054,0.5130177556326375,0.8263244871973816,1.0155753553030533
1,0.5652574195131894,0.7791046569002488,0.9413537852010141,0.5478812634243205,0.7919852229507509,0.9785473442877398
2,0.5449396300464537,0.8053405686981671,0.971013534140091,0.5134760331920117,0.824288370008601,1.0150973861906154
3,0.55968546152487,0.7913470317470696,0.9541467418819198,0.54307597252036,0.7957558883076846,0.9837337876094931
4,0.5767355565633281,0.7700154797113892,0.9317337215468372,0.5479161310958129,0.7891358778449197,0.9785096104775283
5,0.5361327556308764,0.8058882108088938,0.9759460948965072,0.5174174333245651,0.8177095958976732,1.0109773004287226
6,0.5761481059108406,0.7614530362361736,0.9241441299235058,0.5606753930040566,0.7776970268171757,0.9646024364939677
7,0.5766929097456237,0.760909744223626,0.9259536048938234,0.5516640185177066,0.7841564128549648,0.9744451253430996
8,0.5456287677203959,0.8002075520674534,0.9666645649819083,0.5260803341697295,0.8128111187357243,1.0018621173738513
9,0.5544401212106154,0.7924898096671772,0.9569941772741036,0.5334304492550112,0.8046462402656736,0.9940627184023048
