split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5772475410540652,0.778475468456241,0.942285600481228,0.5215101450989295,0.7961509342225761,0.9854940610831809
1,0.5579111086805301,0.7919640919962054,0.964724597159237,0.5154731182814465,0.8027947132353941,0.991691481628162
2,0.5615285224365594,0.7877668834893172,0.9563952629887802,0.5097572654900921,0.8077786177751003,0.9975237104739298
3,0.5920158704654501,0.7631583162381658,0.9247707080909298,0.5401867225314645,0.7784360744371316,0.9660695602363725
4,0.5533378723315645,0.7979889960973163,0.9714330588936474,0.5159960036840068,0.7994139345053572,0.9911562368432252
5,0.5817493255852009,0.778699786806086,0.9454765153187801,0.5315975194355254,0.7914931380147183,0.9750507877575849
6,0.5701666646845118,0.7792473478023229,0.9497974786447902,0.5230242995887401,0.7985319559966533,0.9839335550434951
7,0.5544779324586029,0.7994626078683137,0.9655550015201257,0.5067895239432711,0.8121051727528756,1.000538467849094
8,0.5931720664387785,0.7666423039705498,0.9329481057056135,0.5279491415122424,0.7948082622608348,0.9788407480183513
9,0.5759651019712555,0.778576943984053,0.9426805220430107,0.5251226508908503,0.7966278088766346,0.9817668681499789
