split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5628731413543793,0.7790444066573554,0.9387807370872358,0.5451673785321287,0.7930661741051049,0.9636916739214019
1,0.5758711961279677,0.767207015830108,0.9277364606789766,0.5519829412690279,0.7818521319362621,0.9564440709328849
2,0.5584303086138467,0.7931174923102948,0.9588491262562849,0.532093619090273,0.8063023831555661,0.97744378132529
3,0.55150064884081,0.7930222755837677,0.9644839477447615,0.5329014644112909,0.800442471588472,0.9765996332912483
4,0.5568272084854483,0.8002326807079306,0.9615456142915578,0.5299713798825532,0.8044187986481787,0.9796579237144045
5,0.5736071154017729,0.7750087765106942,0.9355571272529103,0.5547837903781088,0.7833830889067911,0.9534497033837241
6,0.5560681149515161,0.7863643694453445,0.9530894728619616,0.532985574931288,0.7999443920556809,0.9765117010939665
7,0.5759067271641449,0.7754387098285004,0.9354433458115654,0.5436928408524898,0.7911712284097986,0.9652525226641712
8,0.5629041580824415,0.7916087388581469,0.9564971728719681,0.5374841971038811,0.8008643625609999,0.9717970849558488
9,0.5787123076337581,0.772217040746759,0.9307036614557931,0.552219976922977,0.7839788279418535,0.9561910210363548
