split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5724552121379127,0.7968111313634294,0.9621842384474896,0.5157369177539533,0.7963398783919161,0.9770320241269044
1,0.5630045838196507,0.782319265244983,0.9573791779318855,0.5104131640518723,0.7926153031355493,0.9823878528671498
2,0.5839646205130145,0.770895765798561,0.9372606233810385,0.5185436122711378,0.7881709896434115,0.9741965660457756
3,0.5861864134509557,0.772734837204643,0.9372721896899218,0.5269997004745541,0.7821457405812567,0.9656034876682167
4,0.5544922635617684,0.8064651908238438,0.9774644220409247,0.5079870773967128,0.798164730359825,0.984818895298977
5,0.5791738980072695,0.781226600180418,0.9468353332468009,0.5155412044266507,0.7928674637422847,0.9772294363179072
6,0.5653502590425608,0.7870057351044455,0.9524547264537058,0.5133479898180796,0.7930906983075083,0.9794389674930123
7,0.5799920631766251,0.781202291534062,0.9462563471253346,0.5232291371458664,0.7852196615374741,0.9694445444335968
8,0.5943998638527974,0.7706348604243746,0.9305178676358575,0.5324278198611219,0.7773510222873753,0.9600468998135271
9,0.5709127203386389,0.7802949171643653,0.9494871085112794,0.5251302684244912,0.7818755650884176,0.9675097761293958
