split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5560869992742199,0.7965899125459284,0.9661702289560907,0.5018627421521127,0.8339684832331429,1.0308207440952064
1,0.5536511584710799,0.7896046680155497,0.9652328696119732,0.5156211565152863,0.8238560821360144,1.0164855746179933
2,0.5561493798733175,0.788521575362035,0.956758551639307,0.5064808722459101,0.8309740997098726,1.0260313522229898
3,0.5824934439586321,0.7631286910166352,0.9325731095425945,0.5273261639461941,0.8047271637683691,1.0041287884434535
4,0.5821795671028843,0.7797863600302825,0.9380569252720251,0.520324228348162,0.8186288040092802,1.011538758991963
5,0.5565506123563582,0.7876959433637346,0.954515546128145,0.496173240067447,0.837928736884412,1.0366908182486874
6,0.5578653276208514,0.799924548091903,0.9639709233630348,0.5086972918339911,0.8294090293073307,1.0237247799936835
7,0.5596285191833098,0.7823328490413926,0.9457462646683689,0.5120745932381903,0.8289502791619,1.0202000799149493
8,0.5919628174619002,0.7614000506560507,0.923053110883924,0.532363074712815,0.8081600317321745,0.9987643563697699
9,0.5587696927640948,0.7871635307902464,0.9649464879529674,0.5215625493294308,0.8129086482832103,1.0102322315252283
