split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5667236475693737,0.7901807759186208,0.9587803236478193,0.5256964819381178,0.8075887688491205,0.9885535588208277
1,0.5495156622235319,0.810368026767504,0.9853382087146704,0.5188545549513534,0.8121523712906091,0.9956580749661073
2,0.5567240145267287,0.79924757086485,0.9652105043108523,0.519706506869944,0.8132047221876795,0.9947761912824419
3,0.5722584330154559,0.7816699113204468,0.9505200603628221,0.5274925956986443,0.8087916481059381,0.9866800340523617
4,0.5461940658885295,0.8027248025079552,0.9761661758211098,0.5134837227546921,0.817367640915811,1.0011997175025544
5,0.5529709025638982,0.8077504752019984,0.9763808078005048,0.5137677248714383,0.8243174562425107,1.0009074514875214
6,0.5523142891060839,0.8010974016399748,0.9733318315347219,0.5165836917222536,0.8170939075721612,0.9980049139479402
7,0.5610950084856956,0.7959975040196834,0.9605876482125355,0.512852232608222,0.8174618529555253,1.0018492771956717
8,0.575206428289025,0.7778116853197927,0.9484029898065716,0.5356854855720776,0.794986954853055,0.9780885184966146
9,0.5618932313548647,0.7739195613132809,0.9576839581299865,0.5323756393240126,0.7927643835499509,0.9815684590386077
