split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5821983227029215,0.7548197144660709,0.9173696839166122,0.5426234023520076,0.8047114868447631,0.9894978896598031
1,0.5780295821483898,0.7776119131706699,0.9319127910546667,0.5298120364887369,0.8234078148844413,1.003260367150116
2,0.5744616142176191,0.7817593949412219,0.941885837742723,0.5219956978572946,0.8273729098397075,1.0115650252206567
3,0.5684614656236717,0.7830016733104467,0.9454719271574651,0.5143080453461035,0.8333229240754179,1.0196669837893375
4,0.5726449117645744,0.7841868894871157,0.9480077570806096,0.524189818421839,0.8238586284353645,1.0092407276760351
5,0.5749434443948097,0.77849466759054,0.9444746032347321,0.5338728952331165,0.8176242093807045,0.9989185572705617
6,0.5931181087416424,0.7636940384406112,0.9232339561456144,0.5291379697881534,0.8229407794691387,1.0039792522093987
7,0.5568421929542465,0.7869567118972015,0.9579453457282249,0.517842685904981,0.8248249808352588,1.015949877137044
8,0.5813632973922116,0.7746884456153077,0.9307630627240404,0.5309094098434963,0.8233789652987288,1.002088926780009
9,0.5631052054677801,0.7882950735024111,0.9478749072575609,0.5206546716641112,0.8304253805414142,1.0129829885023698
