split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5534644232935354,0.803294874208705,0.9684301824600092,0.5291349581688292,0.8038592439006155,0.9869626887992051
1,0.5525072282779249,0.802134515332542,0.9675636113505441,0.5298557459640265,0.7997298128151795,0.9862069912529146
2,0.5589778800041303,0.7965560292015506,0.9629197910832661,0.5276223202185524,0.8043177381424469,0.9885467097198448
3,0.5562225251642073,0.804868445625911,0.9668139139885675,0.5199521599172827,0.8059653051118829,0.9965400805689517
4,0.5572880834173345,0.7928111897384305,0.9599270749340103,0.5368617151866544,0.7896087492782252,0.9788313085246145
5,0.555651704552673,0.7992217235102157,0.9595799057122086,0.5189745506467935,0.81727026667576,0.9975542829517006
6,0.5633990884143725,0.7901913416990902,0.9541030056565128,0.5296996849052602,0.7969813819970887,0.9863706598884514
7,0.5774893447402649,0.7807883855327873,0.9424321626671024,0.540552559282919,0.7874126968815397,0.9749232530768829
8,0.5605615288819772,0.8040156158460493,0.9653030712559934,0.5363742538978957,0.7961060555140689,0.9793462917408494
9,0.5757243833356706,0.7872287319308939,0.9446589703744003,0.545283262480327,0.7889625552224017,0.9698911147786237
