split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5754988256326801,0.7838942765785136,0.9441778163559609,0.5279425580004379,0.79101936668435,0.9784040586835738
1,0.5609403341481323,0.7878676996516704,0.9512689534648691,0.5235183033803681,0.7927243660333064,0.9829783043976104
2,0.5613223892137249,0.7814725491369277,0.9449385387597506,0.528605286680215,0.793652149039452,0.9777170192337917
3,0.5791025732345108,0.7764513047039053,0.9383695352076065,0.5321226512776305,0.7888101710711645,0.9740625166742181
4,0.5704192365101574,0.7931490165945726,0.9566374119915653,0.52737383564311,0.7923466480412545,0.9789932589777801
5,0.5804036198408153,0.7818298406214869,0.940405655715942,0.5330368116854161,0.7907129214913428,0.9731104672048237
6,0.5539076536417498,0.7925476583038138,0.9581231137920253,0.5229526961125261,0.7980401538324523,0.9835615532202571
7,0.5652799240902535,0.7856394237482739,0.9456336424138232,0.5347163993461621,0.7908873430005908,0.9713588337674569
8,0.5627786911353523,0.7855058543563015,0.9531939535461983,0.5196824033015377,0.801522236722529,0.9869270900383821
9,0.5726593584143582,0.7830896480943214,0.9420387022661972,0.5325688067904154,0.7897861145472492,0.9735979857303342
