split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5681884634023251,0.7825972716138316,0.9443151140183436,0.5090397797641231,0.8107660846879172,0.9949404314310165
1,0.5766559357357212,0.7755702053077473,0.9296962821879003,0.5149263209989997,0.8086312810839847,0.9889578496554386
2,0.5628075113746029,0.7828368002198283,0.94424465487901,0.5059895773551165,0.8171627788717987,0.9980262931886923
3,0.5724324511501984,0.7880934194141566,0.9446649530948824,0.5107290606859781,0.815608860103814,0.9932272762028225
4,0.5587681933791695,0.7898561578297603,0.9566588512942874,0.5080225101347244,0.8141928223693674,0.9959706563913434
5,0.5769243108338142,0.7811204245597496,0.9361754072803087,0.5319134004075562,0.7946405625767246,0.9714870846159288
6,0.5861491681229494,0.7715809085968469,0.9366674404162526,0.520452315625502,0.7996573015345587,0.9833085744607302
7,0.5244599006697974,0.824118773811313,0.9925974580777074,0.4440862735342892,0.8662231614738243,1.0587114888301268
8,0.5624681783556698,0.7903179600531706,0.9571468570465984,0.49614717207075354,0.8213508089329408,1.0079193371920423
9,0.5848469785704631,0.769489174347002,0.9240572042123708,0.5288148073292614,0.7949196360669621,0.9746972575332109
