split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5670589798741374,0.7845181141338217,0.9534274394594023,0.5303775494659959,0.8026636947080846,0.9822961549157503
1,0.5490557772069387,0.7898523814067404,0.9576526848816977,0.5131930915775502,0.8108049400088196,1.0001068117068947
2,0.5684217937213022,0.7848856036140552,0.9569237541679185,0.5279513274429046,0.7936558668378901,0.9848303164562155
3,0.5890860348090182,0.7644168928963673,0.9206029312230587,0.5418430840997499,0.7909244703247702,0.9702309898505718
4,0.5799742361995333,0.7716661922214461,0.9322777326235457,0.5409773790347887,0.7877832611380771,0.971147201584537
5,0.5641961102614185,0.7900576842598037,0.9536702852152853,0.5243088490824186,0.8044052720243494,0.9886226474755035
6,0.556951412597252,0.7856427391007836,0.9592074891579355,0.5173886410329872,0.8011236530123304,0.995787771141801
7,0.5728260277610693,0.7737899796054883,0.9385555951085665,0.5277129885308152,0.8032976492473282,0.9850789070986512
8,0.5699831850099404,0.7855312499784554,0.9483376245308927,0.5271412993061542,0.8012977094104756,0.9856749309827165
9,0.5735503246610638,0.776340556745885,0.9437778316333147,0.5275124201495613,0.7936316727314768,0.9852880539787339
