split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5775373227521605,0.7701579720572036,0.9304474504011245,0.5264698068287685,0.7889509243720486,0.9748823623719353
1,0.5781653633271029,0.7685063790202412,0.9341634014701967,0.5455305117773341,0.7805852574177371,0.9550601863455219
2,0.5542056529470212,0.7849503753299085,0.9548481180545724,0.5229073942827291,0.7950028431253744,0.9785425574999409
3,0.5640865148400105,0.7835040360829206,0.9457682260996763,0.5349036927458604,0.7875485669076452,0.9661617079475822
4,0.5812984197200098,0.7722065993978152,0.9349139364672472,0.5347203233108868,0.7892831188141437,0.9663521492227359
5,0.5695100698096656,0.7814689640418924,0.9494951677432966,0.5370512067674211,0.7870128115530489,0.9639285721410027
6,0.5407420864153907,0.790096771815031,0.9616282104189715,0.5078986700571579,0.8124637524928789,0.9938152226829816
7,0.572310296489666,0.78037308677183,0.9397015585370431,0.5356780328169753,0.787160655886114,0.9653570903150868
8,0.5739628148816189,0.7730246056942504,0.9335143282150716,0.5361691121050942,0.787142109460469,0.9648464615714826
9,0.564959237779028,0.793018776096138,0.95556988323992,0.5362825804637098,0.7920741659364084,0.9647284376929899
