split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5568911228027646,0.7879245995554618,0.9536677113823556,0.5182419773134337,0.8270814449277424,1.0154267775105204
1,0.5664824978454099,0.7832803925288626,0.94650815723286,0.528941075619489,0.8211983788887638,1.0040879428418814
2,0.5776559828249542,0.7700695768719684,0.9290899790929678,0.518962533088007,0.827196520654203,1.014667116658864
3,0.5819528685315559,0.7639053020487425,0.9284114518448795,0.5356403352714438,0.8087648684539515,0.9969224554985291
4,0.5609013510819398,0.7827433899870365,0.9508403384100504,0.5293863786787896,0.8193845644596548,1.003613236675995
5,0.5843135500564296,0.7704818341078099,0.9278234850856731,0.5412975031664813,0.8109646212853088,0.9908312287158157
6,0.5705185932223098,0.7738430366764916,0.9353472056614364,0.5277839606615308,0.8222489861148111,1.0053204134521752
7,0.5607102549318903,0.7899623326221318,0.9494976857861992,0.5170129404153625,0.8339832706472304,1.016721205392346
8,0.5742914454321868,0.7739997460006068,0.9416137455176371,0.5373973049356489,0.8094143170442778,0.9950346704396096
9,0.5574032911204275,0.7661574886596089,0.9491472688869973,0.5302284201616856,0.8105518257750228,1.002714981405452
