split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5829506082797181,0.7740231101152224,0.9349944121720847,0.5393623929538589,0.7966790321854865,0.9843744735396889
1,0.580034397673495,0.7745645624641126,0.9352372719939723,0.5288819306982686,0.8093013840019634,0.9955097738202584
2,0.5737350410515638,0.7688114814049217,0.9332627111196712,0.5295278269918846,0.8065324762169704,0.9948271247658682
3,0.5800808972139325,0.7713757730487563,0.9327724539350042,0.5218085924627369,0.8188960357416246,1.0029551934719518
4,0.5632400210369768,0.7912927887539877,0.9533288361291627,0.5155517795985078,0.8260314558794463,1.0094953665404691
5,0.5855407770694829,0.7658732850282388,0.9231114768062826,0.5292376846963966,0.809930738941106,0.995133834656753
6,0.5786478556112182,0.7658975956833116,0.9401627030537013,0.5302173199005914,0.7997356541211688,0.9940978810574799
7,0.5720712364040138,0.7719431713390862,0.9390151457459287,0.5306512024879031,0.8035442191448379,0.9936387098117477
8,0.5732031964484792,0.7697272406416932,0.9404083698350616,0.5192491059498753,0.8111067952898539,1.0056357356382646
9,0.5930692478642414,0.7639954126126282,0.9225762039645492,0.5339256451538521,0.8064643800857311,0.9901665504643451
