split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5770255086246932,0.7816953330066359,0.9396332222580246,0.5160581420125727,0.8165071506195679,1.0008456045155982
1,0.5730845523576213,0.7777158211241816,0.9343573129787727,0.5092935238848992,0.8137043006129013,1.0078163210495985
2,0.5721725087626262,0.781763409826116,0.9373445623338387,0.5204309276328144,0.8086092867840057,0.9963136402579619
3,0.5585470696794241,0.7948353056141932,0.9548258873750612,0.5032309140488453,0.8222971124393438,1.0140229242693828
4,0.5780914380996272,0.782211549005182,0.9385132106885333,0.5091371548332541,0.819460579746561,1.0079768841738626
5,0.5765275918749967,0.7763879921143422,0.9339165071313946,0.5079332435756043,0.8168184622364092,1.009212230831058
6,0.5824614526156227,0.7745701334975232,0.9382358784458079,0.5184879780520715,0.8046918234520247,0.9983298570629494
7,0.5811229401270429,0.775420847246453,0.9349835023806885,0.5121148268163176,0.8145999325220257,1.0049149390440886
8,0.5937922063551198,0.7612376573998749,0.9180214183676838,0.5348685189875113,0.7948586128941527,0.9812018528470545
9,0.5746556330749342,0.7783618673430724,0.9354781705835584,0.527117511844072,0.8030841948846001,0.9893435076632242
