split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5681532372995313,0.7809887574838826,0.9485157826625007,0.5343918287058085,0.7986084165085152,0.971027692810881
1,0.5668413798991736,0.7814951183852935,0.9514313678994282,0.540897801010799,0.791173631211595,0.9642197115031512
2,0.5459463341874249,0.8066030475584817,0.9783801416097696,0.5194880574723026,0.8161688760778482,0.9864462178821929
3,0.5850493986062345,0.7724402762266668,0.9325583905221063,0.5568605274585425,0.7794259653705021,0.9473087248716774
4,0.5694243729138999,0.7832100011271306,0.949616535190606,0.544536496943978,0.7937888111309735,0.960391063054859
5,0.5681903346066317,0.7852574528657167,0.9548445921488378,0.5336919704977693,0.7955892399278832,0.9717571973212435
6,0.5601213288821238,0.7904902878407448,0.9579793141096015,0.5330067576419928,0.799907861708497,0.9724709059116995
7,0.5814778121345545,0.7745348863025207,0.935298517088518,0.5657069630238003,0.77083640967247,0.9378054498534448
8,0.5699338926586364,0.7890299612893166,0.9466314712133077,0.5399456392771484,0.7958434624866775,0.9652190724122993
9,0.595817370846159,0.7557348047953312,0.9147855982192541,0.5561430673564284,0.7771926316611258,0.9480752796265165
