split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5612110605514593,0.7841869836534827,0.950295768782152,0.519300485586361,0.799443303080321,0.9846273596899837
1,0.5608013617211749,0.8030193563491712,0.9677146105403365,0.5088205593809996,0.8112022957131604,0.9953026208353658
2,0.5834867018860259,0.7710235344595694,0.929962197179185,0.539922587304196,0.7879934024714401,0.9632754981242486
3,0.5884448034466077,0.771701278499742,0.9299745446762563,0.5421842109224762,0.7824809399058906,0.9609049725583197
4,0.573125524299685,0.7879887852671954,0.9528149396112079,0.5254626486773124,0.7941828759491825,0.9782959565131585
5,0.5724518475193514,0.7840005616137552,0.9517255237272935,0.5227631751702492,0.7965164179335447,0.9810745985869559
6,0.5563603608569261,0.799732372393192,0.9666094803564833,0.5110148670658332,0.8113805459121696,0.9930769119729179
7,0.5716618398312301,0.7944944977042633,0.9556298001508001,0.5255751871153264,0.8015097970334661,0.9781799462278251
8,0.5707174359976941,0.7873836408694973,0.9524141767140102,0.5224499140739813,0.8020783902384478,0.9813965373719682
9,0.5755528401924443,0.7832670419318258,0.9441204263715012,0.5213223930980468,0.8020804538675662,0.9825544188499661
