split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5754450321841506,0.7739440106607512,0.9407008812880765,0.5335243724261084,0.8106736181940408,0.9956541243175522
1,0.5765885895286871,0.7639119179381022,0.9299035057358963,0.5477252382068466,0.7970053860101183,0.9803816977415245
2,0.5571627926848239,0.785338197628471,0.9538733469488185,0.5214542384434104,0.8195312971537566,1.0084532159624506
3,0.572748654759683,0.7689158985580412,0.9380608370015165,0.5369452937567438,0.8045155933399183,0.9919965676854658
4,0.5614772422760402,0.7916131483011639,0.9590557615069643,0.5320734468089119,0.8079362046137638,0.9972013632264061
5,0.5612021190833151,0.7938109290958302,0.9559877262533812,0.5294361373806131,0.81708172939802,1.0000076084269012
6,0.5851993512695564,0.7686356607543777,0.9308701791301535,0.543901059120099,0.802568585769718,0.9845177491510633
7,0.5925360506263837,0.7580564484888977,0.918450570899035,0.5482525985124511,0.7915563955331063,0.9798099599006016
8,0.571070049719034,0.7878599515656911,0.9489548682906968,0.5195221355083524,0.8254286683858472,1.010486953233801
9,0.5896462145177781,0.7688190514748053,0.9291365738954792,0.5354079544028443,0.809754474632353,0.9936419150507426
