split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5675038742742095,0.7867840429193976,0.9466329935427512,0.523019654556128,0.7930007623509582,0.9814463875283326
1,0.5873829488188995,0.7713091529629991,0.9320688345078292,0.5374421569245623,0.7841322040436113,0.9664944478989224
2,0.571664507246915,0.7874167103036471,0.9465020509328052,0.5214855557136044,0.7965118355944445,0.9830234200944005
3,0.5625733352977467,0.7908154361175417,0.9571430003522229,0.5160684337992183,0.7985431411748969,0.988572020921464
4,0.5862336728702369,0.7741810951267478,0.9340020455288333,0.5397321337581809,0.7838040766919644,0.9640990761583559
5,0.5538422997842165,0.7949778063126685,0.9596617207695166,0.5146505341607308,0.8032353198887672,0.9900191993888509
6,0.5770185459945227,0.7770365614380058,0.9309542005294099,0.5303866471333927,0.7906280236284396,0.9738376420425292
7,0.5906069677116372,0.7675147293929219,0.9271443172266849,0.5314525618465247,0.7880871852405682,0.9727318200345997
8,0.5771094374451747,0.7734803834261781,0.9417141244589028,0.5294288136797681,0.7860669678295086,0.9748302662131278
9,0.5772652120673449,0.7796550730934225,0.9354444513303732,0.5267927705299191,0.7937936276894831,0.9775568525822035
