split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5759037250995539,0.7811805089836935,0.94462039901409,0.5257465130385013,0.7954839072976152,0.9778323936871571
1,0.5812513557547041,0.7751266445019408,0.9442435493498159,0.526129007824726,0.7912855392578274,0.977437993597463
2,0.5911941485330028,0.7723189097665137,0.9292216495886132,0.5376713714131172,0.784668457262063,0.9654605832520534
3,0.5703376016446066,0.7843234054668904,0.9557821248119185,0.5250173019162269,0.7956192013346572,0.9785838614071882
4,0.5544568730406987,0.8033656945030476,0.9733831425420599,0.51145599546507,0.8064254141753726,0.9924553977374644
5,0.5776114726168347,0.7848589960857144,0.947993863884793,0.5148114542115505,0.8026666575888267,0.9890412928388845
6,0.5642442789619486,0.7921897606118106,0.9600171887381089,0.5179845979698328,0.8042606628728092,0.9858018116794132
7,0.5950598961254028,0.7640351554158726,0.924110027350479,0.5450392656710752,0.7738322740634019,0.9577366615175775
8,0.567108600225723,0.7808382554912151,0.9535824204950399,0.5230207810538774,0.7848200878705309,0.980638372357199
9,0.5843934140090042,0.7726612819174736,0.9368631763634858,0.5253330743241101,0.7907296149814877,0.9782585220225963
