split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.579369090492911,0.771866275843963,0.9355646093696595,0.5259658351055956,0.8240545943821578,1.0067572186048697
1,0.5665672285918262,0.7800136753252229,0.9471141139453325,0.5266843285993623,0.82370263654284,1.005993958414276
2,0.5553574678570219,0.7904588559416151,0.9581551438196448,0.5072245420015236,0.8402065891714539,1.0264657564344624
3,0.5394144412806154,0.8179812919997785,0.9856012129280116,0.5003633883403762,0.8498811915213295,1.0335870461503314
4,0.5865013182927434,0.771019961759364,0.931560178340636,0.5384696760367482,0.8105914013193942,0.9933906107869586
5,0.5636824289991409,0.7890707830228615,0.9538678899461718,0.5189262781789494,0.8292528491198334,1.0142050012093196
6,0.5608460249097772,0.7878293963632932,0.9541637182854155,0.5177334009435617,0.8328674467917083,1.015461641261051
7,0.5764665290286786,0.7732188728282807,0.9373171826010862,0.5296251354215709,0.8206737626209035,1.0028638660204074
8,0.5505030244878459,0.8012892049696105,0.9673358040369653,0.5024552811995766,0.8439723657012331,1.0314210507026322
9,0.579121391371914,0.7691766289595883,0.9383518325750267,0.5363617967151886,0.8103699492909877,0.9956565097083198
