formula,Egap
Bi2Mn1Ni1O6,0.9801
K4O12Zr5,3.1804
C6I2O6Os2,2.3856
Se1Yb1,1.4329
C2Cl14Si6,4.0164
O4P1Tb1,2.9626
F7K2Mn2Rb1,2.9703
Cu1La1O1Te1,1.6685
K4P6,1.0221
Br2Hg3Se2,1.3157
Li1Nb1O4Zn1,2.887
F6Mn1Na1Rb2,1.7619
Br2Cd1H4O8,4.0085
Gd1S2Tl1,1.5014
B3Ca5F1O9,4.2427
C10H14N8Ni1O2,1.3057
Cs2F6Sn1,4.8193
Cu1H2O5Se1,1.7872
Rb4S14Ti3,1.6654
Na5O13P1Si2Ti2,3.0068
F2O6S2Sn1,4.2281
K3P1,0.2239999999999999
B1Cs3P2,1.6923
Fe1Mo2Na1O8,1.9842
Cu1Ho2K1Mo4O16,1.4126
Cl2Cu5O8Se2,1.0234
Cd2Cl1P3,1.2284
K2O9Si4,4.6355
Na2Ni1O2,2.3481
Ge1O12Pb2Se4,3.2992
Ba2Cu3O6,0.2491
As1Cd1K1,0.2566
Cl7Mn2Rb3,2.9960000000000004
F13Na5Zr2,5.56
B4Cu1Ho2O10,1.7168
Li4O4Pb1,1.4474
Br3Ga1,3.2741
Os1Si2,0.7329
Fe2P2S6,1.6369999999999998
C1K1N3O2,3.3303
As6C8H34N16O34V4,2.139
Cl14H20Mo6O9,3.0517
K2S1,2.3233
Mn1O5Se2,2.9130000000000003
Li2O7W2,3.5527
Cl9In5,3.0083
Al1H6La1,2.1807
H4Si1,5.8297
Mo3O12Tb2,3.4819
C6Co1N6Na1Rb2,5.0626
B1Ba1F3O1,5.8785
B1Cu1S2,1.9361
F6Ge1K2,5.7209
B1C2H10N5O3,4.541
Cl4Mn1Na2,4.0241
Ca3O6Tl2,0.7297
Ge3O9Sb2,2.9371
Bi1I1Te1,1.2292
Ag1Er1Te2,0.8652
K4O18Si6Sn2,3.492
Bi4Ge3O12,3.4662
Cl1H4N1O5,4.9733
Br4K2Zn1,3.9148
Be1F4Tl2,4.4278
Cl1Cs1O4,5.4844
Cr2S3,0.5056
Au1Cs1K2O2,2.2899
Ag2O2Pd1,0.3164
C3N2,3.5011
Ca5Sb3,0.4206
F1O3Re1,3.0462
Ca10F2O24P6,5.5236
Cu2O1,0.6532
F4O1W1,2.7896
B12Cl1H12Rb3,4.936
As4Ca3Ge2,0.6025
In1Se2Tl1,0.6923
Er4O7S3Si2,2.6349
Ba1K2O12S12,2.736
N1Na5O4W1,3.1168
H1Na1,3.7962
Ba1Li2Mg1O8P2,5.5571
Cl18Cs2W6,1.0915
Ga1K1O2,3.1314
Cu1Se7Si1Tb3,1.5594
Cs2H10O24P6Re2,0.7604
F6Sn2,2.2442
Na1O3P1,5.127999999999999
Ba2Ge2Te5,0.6146
Be6O24S2Si6Zn8,4.5022
Cs2N12Pd1,1.9194
Ba1K1O4P1,4.9629
B3O5Rb1,5.2909
C1F1O3Rb3,3.4701
Bi2Ga4O9,2.9024
I5Nb1,1.0813
Ba1H9I1O5,3.5684
Al1Li1O6Si2,5.3557
Ge9Li4O20,2.862
Fe2K2Na2O20Si8,2.6768
C2H9N11O8,2.7725
Ca2O7P2,5.4227
K4S14Ti3,1.6263
Cr1F6Na1Rb2,4.2737
C3Cs1N3Se3,1.7522
Na2O4U1,2.9066
Fe1Li1O9P3,3.7117
Br1Fe1O3Sr2,0.8466
In1Li1Te2,1.4206
I5In1Sr2,2.7727
P1Pb1S4Tl1,2.0935
S3Sr1Zr1,1.1823
F6U1,3.8224
Os1P2,0.9187
As1K1Ni1O4,2.8898
Bi1Cs1F6,2.9058
Cs1Ge1,1.3785
Cu4O9P2,1.1877
Cu1O7Sr1V2,1.983
C1Cl1Cu1O1,2.5815
O14Rb3Sb5,1.1686
Li2O2,1.977
F6In1K2Na1,5.348
O5Te1U1,2.9410000000000003
Cs1H3Mg1,2.9296
Cl2Cu3O6Se2,1.1769
Ba2C2F3O6Y1,5.2658
Mo1O6Te1Zn1,3.0155
Ag1K2Nb1S4,1.7358
Ba2Mn1O3,1.7205
B2C2Mg1,1.3059
Ba3Cl2Fe2O5,2.237
Li2O12S3V2,2.9471
H8N6O12Zn1,3.2565
Al1Na1O4Si1,4.4812
Ca2Cl1Fe1O3,0.6618
As4Br3C8Cu3H18N2O4,3.0226
S2Tb1Tl1,1.5904
H6Li1N1O6,3.2732
Cd1Ga1In1S4,0.4163
Ag1In1Te2,0.4045
Cl2Si1,2.0118
Ca1Co1F6Li1,2.8809
Cl1Er1O3Se1,4.3434
Ge1Li1O4Sc1,3.8994
Cr1Mg1O4,2.4071
K1Ni1O4P1,2.9853
Ag6Ce1N9O27,2.9194
Ba4Nd4O15Pt1Zn3,2.443
F8N2O2Xe1,2.1602
Bi2O7Ti2,2.7755
Cd2O12S3Tl2,4.1314
Cl2N2S3,1.6965
As1Ca1H1O5Zn1,3.1016
Br6W1,1.1364
Eu2Ge1S4,1.9244
C8F12O8Ru2,1.3834
Ca1O6Si2Zn1,4.4895
Cu3Se4V1,1.0590000000000002
Ba2K8O24U6,2.8745
F1Rb1,5.5444
Cu1Sb1Se2,0.7206
Cu1Er1O8W2,1.4433
Al1Sb1,1.2271
Cl3Cs1Yb1,3.0729
Au1C2N2Rb1S2,3.0038
Li1Nb1O2,1.6572
Ag1K2S4V1,1.2061
Ga2Hg1Te4,0.6882
F1Na3O4W1,4.502
F3N3S3,2.5925
Bi1Cl4N3S4,2.0251
Cl2Cu1O6Se2Sr2,1.7913
In1Na3O4Rb2,1.977
Cl1Li4N1,1.771
Cr2Mg3O12Si3,3.5782
Ge4H4Na4O16Sn2,2.397
O5Ta2,0.4342
Au1C4F12Li1O12S4,1.6357
As1H6N1O4,4.0167
Ba4Li1N7W2,1.9911
Ag3K3Se8Ta2,2.1594
F1Mg1Na1O4S1,5.5939
Ga1I3,2.3087
Al1Nb1O4,3.6135
C2Fe1H4O6,2.2115
F4Xe1,2.7105
Br3Cs1Li2,4.2957
C2Cs1F2Ga1H6,4.2069
Cl2Cr1,2.3375
Co2P2S6,1.2999
Bi2H16Na6O14,3.9423
H9N1O13Y4,3.213
Cl5Cs1Pd2,1.9541
Ga1Na1O6Si2,4.2568
Ba3Na1O6Ru1,1.4769
Cl1Cs1,4.9953
I14Mo6Pb1,1.9883
Eu1Te1,0.7902
Ca1Mo1O4,3.3476
I5In1Pb2,1.8539
Nb3O10U1,2.402
O5V2,1.4079
F1O1Sb1,3.3005
Cd2P2Se6,1.129
Cl6W1,1.8452
Au1K3Se13,0.6554
C2Cl1N2Ni1Rb1,3.1037
Cl2Zn1,4.6308
Ir1Sb2,0.354
Cd4S6Si1,1.5094
O8Pb1Re2,3.8298
Br2Cd1,2.8581
Ge2Na2Se5,1.5313
O9Te4,2.2302
O8Rb1S2Tl1,1.9786
Ba2Cr1O6Ta1,2.3495
Ca2Nb3O10Rb1,1.8503
H2N2Na2O4,3.0117
Gd2O7Zr2,0.1483
N2Sr1Ti1,1.4463
Be6Mn8O24Se2Si6,2.987
Cl18Nb6Rb4,1.1295
Cu3K3P2,1.4959
Cs1Cu5S3,0.9994
C2Cs2O4,4.1749
Br8Nb3,0.4697
Na4Sn1Te4,0.971
Bi2Cl1Er1O4,1.4394
C5I1O5Re1,2.2912
Cl5K1Sn2,2.986
Cu2O5Y2,1.521
In1O7P2Rb1,3.9432
Au1F4K1,2.8813
Ca2O7Sb2,1.7361
K1S2Y1,2.3314
As2Ir1,0.7405
In1Li1Se2,1.6849
Co3Fe4O24P6,1.8742
Li1N1O3,2.9816
B3H6N3,5.351
Ge1Li2Zn1,0.0295
Ba1Nb0.67O3Sr0.33,3.0267
Br4Cs2I2Pd1,0.843
Nb1Rb3S4,2.5966
Nd1Rb1Te2,1.359
Cl4Cu1H4K2O2,1.6449
Ni3Sb4U3,0.35
Al6Br2Ge6Li8O24,3.6479
Ba4Li2Si6,0.0939
F10In3Rb1,3.6509
Ba1Na1O7Sc1Si2,4.5311
C2Cl2H12K1N2O4P1Pt1,3.1497
Cu3Mo2O9,1.1272
Cu1Nb2O6,1.8258
Ca2Cu1P3Zn2,0.3047
Ca1Mn2O4,1.2693
Ba2O10Si4,4.7362
O3Pm2,3.7054
Cl4H8Si5,3.7613
Be6Mn8O24S2Si6,3.141
Br6Rb2Te1,2.0903
P4Ru1,1.3632
As2Ni2O7,1.5104
O7P2Zn2,4.3859
Al1N1Na3O9P3,5.0104
P2Rh1,0.2491
Eu1K1O4P1,2.9458
Mn1O6Sb2,0.6059
Ba1Nb1O8P1Te1,2.8557
Hg2Se4Sn1,0.1464
K4P2Pd1S8,1.9188
Al1B2Li3O6,4.8247
H1Mn1O3P1,4.3405
O7Sr3V2,0.2012
Fe1H6Sr2,3.0278
O7Tl4V2,2.588
Pd3Rb2S6U1,1.4902
Cl1Hf1N1,2.2039
Mo3O8Sc1Zn1,0.1968
Ba1C2N2S2,3.8461
Nb2O6Sn1,2.1284
Cr1K3O8,1.8178
C2Co1N7Sr6,0.7646
Co1H4K2O10Se2,3.1529
Dy1H4K1O9P2,4.6743
Na4Si4,1.1561
Cl6K2Pu1,0.3081
As2H3Li1O7,1.9624
Fe1Rh2Se4,0.2173
I1K1O4,2.3318
Sb1Zn1,0.1679
O4Tb1V1,2.9659
Li2O7Sr1Ta2,2.5345
O3Sn1Ti1,1.7288
As5S8Tl1,1.5664
Ni1O6Re1Sr2,0.3743
Ba3Ni1O9Sb2,0.7745
O3,1.1997
O2S1Y2,2.9901
H8Ni1O16P4Tl2,2.5132
Ba1Hf1N2,1.2452
B1F4H2N3S3,2.2729
Cl3Gd1,3.9353
C6Cr1Cs2Li1N6,3.7778
Tc6Te15,0.6117
F6Na2U1,3.4221
Fe1H4K2O10S2,3.6167
H12N6Ni1O4,0.6446
Fe1Mo1O6Sr2,1.5162
As1Li1Mg1,1.3689
Br6Hg7P4,1.3199
Ba2Ca1O6W1,2.8561
Ag1Te2Y1,0.8745
C3Co1N3Sr3,1.0322
Cr1O5Pb2,1.8305
Br2Re6Se8,0.835
Co1O4S1,4.0099
Ag1K2S4Sb1,1.4423
Au1Cl3,1.2393
F2O1Se1,4.1516
Er2S3,1.1627
F1Gd1O1,4.5806
Cl5Sb1,1.8558
C4F1H12N1O4Os1,2.5624
Hf1Te4Tl4,0.4348
O7Pr3Sb1,2.6482
O13Sr2Ti6,1.3471
C2H2Na2O6,3.1734
Hg2I1Na1O2,1.3815
Cr2Hg1O4,1.5824
Cd1P4,0.6263
Cr2Fe3O12Si3,3.0149
Ba6Ga2P6,0.6027
Hg3O5Se4,1.8899
La2S5Zr1,1.1037
Ba1K4O9Si3,4.2213
F5Te1Tl1,4.4606
Cs1Na1O3Ti1,3.7336
As2H2K1O8Sc1,3.838
F3O4P1Sn3,3.7663
Cu2O2Tl1,0.7024
As1Cd2Cl2,1.0197
C1Ni1O3,3.0966
Al1Si1Te3,1.233
As1Dy1O4,3.629
N2O6Sr1,3.7135
Cs1I3Sn1,2.3117
Na2O4S1,4.9761
Ag6Ge2O7,0.2506
O6V2Zn1,2.4365
As1F6N5S4,2.4442
C1Ca1N2,3.5558
Fe1Na2O4,1.2168
H2O5S1Zn1,4.8567
Ho3O6Sc1,4.3807
C1Ca1H12O9,4.9139
Ba1Mo6S8,0.1485
Co1K2S2,2.1099
Fe1S4Sb2,0.9952
Cu1La3S7Sn1,1.692
B4K2O7,4.8099
Cs2I4O11,2.8786
Mo2O16P4Sr1,0.9407
Cr1H5O5P1,2.8406
Gd1O4V1,2.9365
Cu3K3S8Ta2,2.4555
Fe1O7P2Rb1,2.3136
In2Rb4S5,2.1364
As2S6Sn1Tl2,0.7170000000000001
Ge1Mn2O4,0.3568
Mn1Mo1O4,2.801
As2O9Pb2Ti1,2.59
K2O4U1,2.8751
C4H16N2S14Sb8,1.3506
O5Sr2U1,3.1449
Na2O8P2Th1,4.6857
F1H6N1Na1O4P1,3.4705
C6Cr1O6,1.2999
Cl3Cu1H4Li1O2,1.2727
Ge2K2O6Zn1,3.1089
Ge1Hf1O4,4.0601
Ge2N2O1,2.5168
Li1Mn1O4,1.5055
Li2Se3Te1,0.5334
Ba3In2O6,0.9182
Hg1I6Tl4,1.1361
Er2O7Ti2,3.1084
C5Ir4,0.4923
Hf1N2Sr1,0.3161
Cu4P10Sn1,0.609
B5Ba2Li1O10,4.9214
Br2Li5N1,2.086
H3K1N1O3P1,4.1174
Cl4Hf1,4.1672
C2Ca1H10Na2O11,4.6268
Br4K2Pt1,1.9772
Ba2O6Sb1Y1,3.5403
Al2O6Rb6,2.6592
Cu1Ga1S2,1.122
O6Pt1Sr3Zn1,2.9810000000000003
Cd1Li2S4Sn1,1.7731
Ca4O1P2,1.2729
Cu2K1Se4V1,1.0643
Cd1Fe2O4,1.5426
O9S2Zn3,4.1937
Ni3O6Te1,1.7084
O4P1Tl1,0.7108
Br3C1Li1N2Sr2,3.9829
Lu2O3,4.0078
Gd2O7Ti2,3.2742
As3Br1Cd2,0.7898
Cl4Te1,3.1412
F4Fe1K1,2.7244
Ca1H5O6P1,4.5596
Gd1H2Na1O9S2,5.4779
Fe1K2P2S6,1.7579
O8P2Sr1Zr1,4.0926
Br6Dy1Li1Rb2,4.1921
K1Mg1O4P1,4.592
Ba1F7Ta1,5.8171
H1N3Si2,3.9838
As4Ge1Te7,0.363
Ni1O10P2V2,1.8635
Cd1Cl3Tl1,3.2752
C1H4N2O2S1,2.9514
B1F4In1,4.5543
B6Br1K3O10,5.2096
Cu1F6K2Na1,1.6931
Ca5Co2N4,0.8072
C2H6O6S2Zn1,3.9555
Ba2H1N1,1.0934
Bi1Rb1S2,1.3503
Cd1P2Si1,1.4128
C2Eu1,0.4881
Ba2Er1Nb1O6,3.0934
Cl3Mo1O1,2.1089
Cr1Cs1P2S7,2.0562
Rb1S8Sb1U2,1.7197
B10O21Pb6,3.2545
Hg2O3Se1,2.2985
I3Mn1Tl1,2.3126
Na1Si1,1.1541
Ca1Cr1O10Si4,3.2917
Dy3Fe1Ga1Se7,1.3962
Br2O6Pb3Se2,2.9116
Cl2Cs1Cu2I1,2.4821
Be1K1O4P1,5.2392
Cu1Na1O2,0.8059
Al4Bi4Cl16Se4,2.6018
C1F3Hg1O3S1,3.2936
Cu1Ho3Se7Si1,1.6565
Au1O2Rb1,1.7621
As2H4O9V1,2.3413
Ba3S5Si1,2.8106
Br5La2,0.35
Cu1H4O4P2,2.3415
C2Cl1Mg1Na3O6,4.2173
C2Cl1H8N1,5.3927
In1P1S4,2.3877
Al2Ca1H6O13Si3,5.0345
Ba1O2Zn1,2.7836
Dy1O4P1,5.8931
As1Br1Hg3S4,1.5222
Ca2Nb2O7,1.7677
Ag10O13Si4,0.7714
Fe2O8P2Sr1,3.3768
Ag1F6Ti1,1.9688
Cs1O12Se2V3,2.3299
Co1Gd1O3,0.9779
La2Li2O10Ti3,2.5286
Ba3Cr2S6,1.0155
O12Te1Y6,2.7108
O4Se1V1,1.7217
B1Na3O8P2,5.1733
Cs2Hg1I4,2.0078
F11Na1Ni1Zr2,4.9654
Cl6Cs2Se1,2.7447
Ag1F30O6S16Sb1Te6,0.9464
Al1Au1O2,0.9622
Ba2O7P2,5.1457
B2Ca1O8Si2,5.6591
Cr2O6U1,1.2059
Br2C4H11N1,3.9373
Cl8O12Si4Sr8,5.1009
F6K2Ti1,5.2108
O3Pb1Te1,2.6943
B1K3P2,1.649
Ru1Se2,0.8640000000000001
Mn1N2O6,2.7714
Cd3K2Se4,1.4777
Fe2Mo5Na3O16,1.0665
I2O6Pb3Se2,2.7185
La3Li5O12Ta2,4.0647
Bi1F7Kr1,2.4495
Mn3O6Te1,1.1997
O2Rb2,1.7635
Ag8S6Si1,0.9747
Cl9Mo2Rb3,1.4857
C2Cd1Cl3H8N1,4.1682
Al6Ge6I2Li8O24,3.1355
Ge1I3Rb1,0.5529999999999999
Os1Se2,0.259
Cu1K1Pd1Se5,1.1615
Na4S4Sn1,1.9182
Cl6Cs2Ge1,2.1983
Ag3I1S1,0.9618
Mo1O4Sr1,3.6652
Al2Br8Ti1,2.9716
Ga2Os1,0.7167
B4H16N2,5.7249
Er2Se4Yb1,1.1078
O7P2Th1,5.3833
H1O8Se2Tl1U1,1.2835
Cu3F4O12P4Rb2,1.719
Al2C1Ca4H22O20,4.3084
Cl6K2Tc2,2.2552
Ba3O3S4V2,0.9201
Mn1Rb1Sb1,2.0535
Pb3S15Sb8,1.5883
Cu1Eu1F1Se1,1.2698
Se2Si1,2.1076
O7Pb2Sb2,1.6235
B3Se10Tl3,1.3344
Cu1Dy2Rb1Se4,1.0678
Er2O7Sn2,2.173
Li1Mn1O4V1,2.2311
Cl1Cu3O8Se2Y1,1.3065
Cd1Cr2Se4,1.6008
Ba1O5Se2,3.3775
Cr5Se8Tl1,0.2027
Cl11P1W4,0.6173
Br3Pr1,2.8
Ag1C2N3,3.8945
Be1Ca1F1O4P1,5.1581
C3N4,3.772
Cd1F6Ti1,4.9024
Ba2Br1Cu1O2,2.6195
Cd1I6Tl4,2.1871
Ba1C1Si1,0.3017
Cr1H1O2,3.306
I4Mn2O12,2.8437
Cr1O6Sr2Ta1,3.1964
Br9Cs3Tb2,4.1296
C4I2O4Ru1,2.1795
La2Mn2O3Se2,2.272
Ba2Bi1O6Sb1,1.7767
C1Cu1N1S1,2.4282
K2Ni2O12S3,3.4739
As1Na1O3,2.8379
Cs3H1O8Se2,3.7174
Bi1O4V1,2.7616
F12H1I2K1,4.5128
Cs2F1O3P1,4.4036
Ca1O3Sn1,2.9496
Ca1Mg2Sb2,0.8074
Cu2Na1O2,0.9175
Na1O8Rb3Ru2,1.4048
Cu8S6Si1,0.9587
Cu2Eu1S4Sn1,0.6899
C2Ca1O6Sr1,4.7895
I4In2,1.76
Ca2N3P1,2.5916
C6Cu5Na1,2.0874
Al2Ba7O19Sc6,2.5119
H4Mg10O18Si3,4.9289
H2O8Pb4S1,2.7869
Ca1Fe1O2,4.4275
Ba1Be1O4Si1,4.6026
Mg3P2,1.1048
Cd2O7Ta2,2.1169
Ba1O9Ti4,3.1942
In4Te3,0.087
Nb1P2S8,1.511
S4V5,1.2684
Ca1S4Y2,1.5312
As2Ge1Zn1,0.1369
B2Ba1O8Si2,5.4903
Ag1P2,0.7696
H4I1N1O4,2.4219
Ag1K1O1,1.504
H2O2P1Rb1,5.1545
Re6S11Sr2,1.36
Br3Cs1V1,2.3682
Cd1Mo1O6P1,1.7987
K1O5Te1V1,3.2728
Ba2Sb2Zn1,0.3773
K1Na1Nd1O5Ta1,3.6201
I2Li1O8V1,2.6185
Cr1F6Nb1,1.4033
As1S1,2.0748
Br1K1O4,3.0653
Ca1Ge1O8P2,3.8396
H7K1N3Na2O8P3,4.7813
C1Cs1N1S1,4.3242
Mo2O8U1,0.5559
C6Cl3H21N2,5.3071
Br1C2H8N1,4.7066
Rb1S8V5,0.6755
C1H4Mo1N2O4,2.9289
Ba1Se1,1.9488
Ge1Na2O3,2.9531
Bi1C4N4Rb1S4,2.4685
Ba4O16Si6,4.5183
H1I1O3,3.2292
Cl2F12Pb7,4.206
Cd1P1S3,1.7927
B1La1O3,4.3992
Cd4F6O1,2.056
Co2O7V2,2.5785
Ge2Hg3K2S8,1.5247
Cs2F10O1Sb2,3.8687
Ba2Cl1N1,1.1134
O7Sn2Ta2,1.6339
H3La3O8V1,1.981
C3H24N9O15S3Sc1,4.6538
Bi4Br2O9Te2,0.8813
Co6F18Rb6,4.0903
B2Cs1O6Ta1,3.4259
Ba1Br2,3.9155
Cl6Na1Nb1,2.483
C1O7Si1Y2,4.7771
Ag2O7S2,3.2331
O9Rb2Si3Ti1,3.6023
Ag3O4Ru1,1.0807
Ba1Mg0.333Nb0.667O3,2.9085
Rb3S4Sb1,2.0213
Au1Rb1Te3U1,0.7166
Cl1H1I2K2O6,3.0557
Ba5F1Mn3O12,1.8219
Cu1Se2Tb1,1.0266
Mn5O16Pb3V2,1.1736
C2Co1H2N4,2.4885
Ag3C6K2N6Na1,3.4254
I2Mg1,3.6017
Cr1Ho1O6Te1,2.7393
Au3O2Rb5,0.9718
As3Bi2K3O12,3.3166
C1H1Na1O2,4.8579
H12Ni1O9S1,3.7586
As3H2Na1O9,2.6092
Lu1N1,0.1988
Ba2Ce1Cl7,4.7423
Ag1Ge1La3S7,1.9576
Nb2Ni4O9,2.5821
Cl1O3Tl1,4.3266
Ag1O6Tl1V2,2.759
Ba2Cl1F3,5.7273
Cl1Eu5O12P3,2.5899
B2Na4O5,3.7503
Ba1O4Tb2,3.2033
As1Cs1O5Ti1,3.187
Ag1C20Er1H14N6O10,2.5898
Cu2Rb2S4Ti1,1.8904
Cu2F1O4P1,1.4057
Ag3P2S8Y1,2.2561
Bi1Fe2H1O9Si2,2.3607
Ba2Ho1O6Ru1,1.4580000000000002
Cl2H4Mg1O2,5.3435
H5O8P2Rb1,3.2719
As1Na1Zn1,0.6588
Cr1F2,2.8187
As4Ca1Na2O12,2.6167
As2Ge1Mg1,0.5511
F1H1Hg1O1,1.4564
Co1K2O12P4,4.4059
Mo1O4Rb2,4.29
N3Ta1Th1,0.2032
Os1Te2,0.1485
H12Na2O9Si1,4.6813
Fe1Se2,1.1666
O4Sr1U1,2.5540000000000003
Cu3Nb1Se4,1.5572
Ba3O9W2,3.45
Cu1S3Ta1,0.6209
Ag5Cl5Hg4P8,1.5764
Bi2O16Te2W3,2.9873
H4K2Mn3O12P4,4.4353
Pt1S2,1.3673
K1O8P2W1,2.3947
Ag1Br1Hg1S1,1.7245
Na2O3Zn2,1.9363
Cl6Re6Te16,0.8896
K4O10P2U1,3.0261
Dy1Te2Tl1,0.6314
Bi1F6Na1,2.877
Ge3O12Sb4,3.2317
Gd1H4N1O12P4,5.3411
C2Cs1Rb1,3.3711
Br3Cs1Ti1,1.789
F10Fe2H2O1Sr2,2.0161
Bi1Cs3,0.2221
N2Si1Sr1,2.8613
Cd2Ge7O16,2.1033
La1O2Rb1,3.3807
Br5K1Sn2,2.3456
O7Si2Yb2,0.1444
Cs4S6Si2,1.7625
Ba2Ge2Mg1O7,3.5553
B3Cl6N3,3.1347
Se8,1.625
C1O5U1,3.7879
O7Si2Sr2Zn1,4.2792
Ba3P4Sn2,0.8054
Cl16O6P4Sn2,2.7969
O2Sr1,2.8682
Cu2Hg1I4,0.9407
Na1O2Tl1,0.62
Cr1La1O6Te1,2.5905
Ca1Cl1H1,3.8508
Ca1H2Mn2Na1O12P3,3.9103
Ge1S3Sn1,1.4327
Na2O7Si3,4.7019
Ba1Bi1I1O2,2.9603
F3Na1Ni1,3.9762
Bi2Fe2Mn2O10,0.4461
Al2O12P3Rb3,4.4222
Al9Fe2H1O24Si4,3.2288
I2N2S1,1.4951
O26Si4Sr3Ta6,3.2821
O8Rb1Sb1V2,2.7391
C1H4N3Na1O2S2,2.3586
Cu3Se2Tl1,0.3908
Hg1O3V1,2.0947
Cl3O12Yb1,0.1025
Nb1Ru1Sb1,0.5958
O8U1V2,2.6176
Na2O13Ti6,3.3122
Cs4O3Zn1,1.7916
Se4Ta1Tl3,2.2639
As1F6Tl1,4.6057
Cl3K2N3O5Os1,2.4642
O14P4Sb2,1.9122
Li7N4Ta1,3.2811
Cl1Cu1Te2,0.7259
I2P4Se3,1.7079
Mn1O8Ta2Zn2,3.4629
P4S3,2.8255
Cl1Nd1O3Se1,3.4332
Ce1Cl3,4.2518
Cd1In2Te4,0.8859
Ga2Mn2S5,0.2423
H7Na5O18Se4,3.3054
C3Cl6H5O5Ru1Sb1,3.2053
F1N1Th1,2.1378
Gd2O5Si1,4.6404
P1Si1,1.5912
Cd1Cu3O12Ti4,1.9273
Ba4Sb2Se11Si1,0.8865
Ba4Cl12Co2,3.3013
K2S3Ti1,1.5319
Ba3Mg1O9Sb2,2.6497
B5Ca3La3O15,4.6833
Cl6Re1Se4,0.6019
K1O2Sc1,3.9488
Fe1Nb1Sb1,0.7499
Ce2S5Si1,2.4101
B1Fe2O12P3,2.3534
Ba6Fe8S15,0.0826
N5P3,2.6031
Ba2Cu1O6Te1,0.267
Cs4S11Ta2,1.8293
Cd3Cl2O2,1.3086
F6H12O6Ti1Zn1,4.0577
F1Ga1O4Sr3,3.6988
Cs1Ga1S2,3.1012
O8Sb1Tl1V2,2.713
Ge2K4Se6,1.641
Al1H4K1O14P4,5.6256
Al22Na2O34,4.5067
F2I1K1O2,4.1651
Ag7As1S6,0.7968
Au1Br4K1,0.7265
P3Ru1,1.3909
F3Tl1,1.2674
O6Pt1Sr4,2.4339
Br2Hg1K2N2O12,1.9587
Bi2Cs3I9,2.2851
Ba1Ca1O7V2,3.2246
Cs1Li1O4S1,4.8342
Cr1O7P2Tl1,2.787
Co1Ge1Te1,0.2668
H12N10O8Pd1,2.5792
Ag3Co2O6Sb1,0.5174
Al3Cl1Na4O12Si3,4.6896
C4Ca1Cu1H4O8,2.0194
B3Ca4Na1O9,4.0814
Bi2Br1Ho1O4,1.3876
Bi1Cl6Cs2Na1,3.7101
Al1Rb6Sb3,0.2755
Au5F21Ho2,2.1682
Cu1F1S1Sr1,1.8567
B1C1Li1,0.8535
Au1I4K1O12,2.1226
B1C4K1O8,3.4978
Cl8O2Si3,5.5713
Ba1Ge2O5,1.7442
Er2O6W1,3.4865
Ca2O7Si2Zn1,4.3317
K1O7Si2U1,3.0491
Cs2O2Zn1,1.9427
F6H12Mg1O6Si1,5.6479
S8Tl1V5,0.8132
Cl2Pd1,1.4917
B1Na2O3Rb1,2.9592
Cu1Na1O1,1.5592
Cl6K3Mn1Na1,4.2062
Cr2O6Re1,1.7288
Cd1Cs1Er1Te3,1.5731
B1K1Mg1O3,4.37
Ag1Co1O2,1.8904
Au3Gd3Sb4,0.2745
Ga1Ge5La3O16,3.0674
Au2Ba1F8,2.9617
Ca2Cl1O4P1,5.3814
Be1La3S7V1,0.4839
Ba3Dy4O9,3.2426
Ag1In5Se8,0.4004
Ba4Er1O12Ru3,0.2853
P4Se4,2.2322
Na2Se1,2.0584
Ag1F2,1.0258
S3Tb2,0.7359
Cu3S2Tl1,0.6281
Co1Mo1O6Te1,2.9165
Cu1O3Ta1,1.4042
Al2Ca1O8Si2,4.7058
Mo1O11P3Si1,3.4472
As1Co1Li1O4,2.7494
Gd2O11Te4,3.2267
F4K2Ni1,3.8196
I4O12,1.9063
I2Te2Th1,1.0512
Pb3S12Sn3Y2,0.4772
C4Cl4H14N2Sn1,3.0106
Cs2H4Mg1,3.0015
Cr1Er1O4,0.2328
Al1Be1H5,3.2691
Br1O1Ti1,2.3
Al2Br6N2S2,1.6394
In1O4V1,2.8952
B2Ca3O6,4.8108
Ag1P2S6Sc1,2.226
Ba17O57Pt4Y16Zn8,2.613
Ag3O4V1,1.3736
O4Pb1Sr2,1.4054
Br4C4H8Si1,4.1813
B1F3Mg3O3,5.4045
Cl14H20O9W6,3.1935
Ge1Li1O5Ta1,3.8508
Mn2P2Se6,0.9148
Ag1I1O4,1.0493
Li3Nb1O4,4.0161
Cs2S3Ti1,1.7004
S4Si1Tl4,1.9911
Cl1F1O7Pb2Se2Ti1,2.8946
Os1S2,0.4352
Co1Ga2S4,2.2731
Mo2O8Pr1Rb1,2.7517
In2Se4Zn1,1.1327
Dy2O2S1,3.0032
Au1K1Se1,1.9022
C1H1O4Y1,5.0906
Ba3N1Sb1,0.7051
Cs2Ge3O9Ti1,3.2206
N1Na1O2,2.411
Ge1La2S5,0.4108
C6O8Tl4,2.9164
K1Si1,1.1831
As3Be3Cl1Li4O12,4.4403
Al1Dy1O3,5.7524
C3Cl3N3,3.7439
P3Re1,0.2891
Se8Ti5Tl1,0.1434
Li10O9Zn4,3.0186
H24Li2N8Te2,1.3378
O1P1Pr1Zn1,1.1883
Al1Ca1O5Ta1,2.6832
Hf2Nd2O7,3.7793
