formula,Egap
C6N9Nd1,1.8551
Al2O4Sr1,4.063
Cl1Nd1Te1,0.4069
Mg1S1,2.7703
O8P2Pb3,3.5098
Ni2O7P2,0.8271
Ba2Ge2O1S6Zn1,2.0827
C1Mg1O3,4.9621
Ge2Na6Se6,1.8811
C6Co1Cs2Li1N6,5.1017
Ga1H4Rb1,4.924
C1F2N1O2P1,5.8972
Ca2Mg1O7Si2,4.4749
Fe1O4P1,2.7613
Ca3Li1O6Ru1,1.2638
Al1H14N1O14Se1,3.5315
B3H3O14Zn8,3.1518
Cs3O3Sb1,3.0799
Cr1Na1S2,2.2774
As2Cs2Sn1,0.7152
Eu1K1P1Se4,1.2276
Ba1C1O3,4.4355
Ag5O4Si1,0.9194
Ce1In1O3,1.0708
Ag1Br1,1.5728
Bi1Li1O4Pd2,1.1347
O8Rb3Ta1,2.9905
Te3U1,0.3247
Mo1O6Sr2Zn1,2.1638
C60,0.9463
Sc1Se2Tl1,0.7382
Ba4Mg1N6Si2,1.1383
Br5In1Sn2,2.2671
O2Th1,4.5405
O12Se4,2.412
B1Mn1O4Pb1,0.6775
B2Mg2O5,5.0801
Cu4Ni1S7Si2,0.6174
Cr2K2O7,2.5016
O5Ti3,0.2171
Br1Cl14P3,1.5632
Ba2Fe1O6U1,1.9266
Au2F11H1Mg1,2.068
Cl2Re6S8,1.1972
Ga1La1O3,3.395
Bi1Cu1O1Se1,0.5414
Cl3Cu1K2,2.695
Ni1S1,0.2667
Fe1Na1O6Si2,2.6722
C6Co1Cs2N6Na1,5.0855
O2Rb1Tl1,0.8481
C5Cd1Fe1N6O1,2.6805
H12Mg1O9S2,4.3729
Cu1S2Tb1,1.4301
K2Se5Sn2,0.8392
O8P2W1,2.0779
La2O11Te4,3.3415
Li1O6Re1Sr2,1.9741
As1C1F5N2O1S2,2.8338
Ca1I2O6,1.277
Ca2Fe2O5,0.616
Br3Mn1Rb1,3.0812
Nd2O6W1,3.377
Ga2S3,1.9808
Ca1Li1N1,1.3777
Br1F4N1O2,2.3259
O3Sn1Sr1,0.3295
Ba4Cl6O1,4.3441
F1H1O1,3.2153
O11Rb2Sb4,1.8258
C3H7N3O5,4.7718
La4Ni1S7,1.4929
Pb1S1,0.4652
C2K2Pd1,1.8062
B1Ce1O5Si1,5.2394
Ba2O8Si2Ti1,4.3378
Cu3Ge5K2O14,1.4376
Cl3H4K1Mn1O2,3.9786
As1Ge1,0.2031
Au1Ge4Rb3,0.8887
F5O1Os1,1.4731
As1Cl3,4.0077
Cu1Pr3S7Sn1,1.574
Bi1Cl2K1O4S1,4.1932
C4F6H2O3,5.2261
Ge4Se9,1.2802
Br8Cs2Re2,0.4758
Cd1K2Sn1,0.0684
H1Li1,2.9623
Ag6O8S1Si1,0.1852
F2V1,1.707
Cl1F4N1O1,1.6030000000000002
Cs4Se8Si2,1.9365
As1S2Tl1,1.6971
Ca1O11Ta4,3.7932
Ba1La2O5Zn1,3.2613
Cd3O10Se3,3.1788
Bi1I3O9,2.4046
Na4Se10Si4,2.4195
B1Mg1Na1O3,3.6152
F1Li1O4P1V1,1.6904
Fe1O6Ta2,2.2576
Cl3Cs1Cu1,1.2618
Al1H12N3O15,3.3973
Br5Rb3Zn1,3.7801
Cd2Sb2Sr1,0.0269
Li4O4Ti1,4.7326
Fe1Nb1O4,2.4604
Ba3O9Ru2Tb1,0.6056
As1Mg1Na1,0.9766
Cl1Na1,5.0394
Pt1S1,0.8985
O5P1V1,1.8608
Br6K2Se1,1.6987
F10Nb1Sb1,4.7257
Ba1F6Te1,4.7892
B1Nb1Ni2O6,2.864
Mn1O4S1,5.8729999999999976
B2Na1O5Sc1,5.0067
Cl1Rb1,4.8414
K2Re3S6,1.4182
Li1O4Rb1S1,5.1272
Fe1O3Si1,2.4851
C1N2,2.3267
Cl1H1Sr1,4.0055
Br1H1O1Rb2,3.3516
Na2O12Sr1V4,3.0079
Nb2O6Pb1,2.7347
Li3N1,0.9844
H3N3Pb1S2,1.8888
Br1O1Pr1,3.7752
Cl3Cs1Mg1,5.104
Ge1O5Rb1Sb1,2.1482
As1F6Na1,4.9175
S4V3,1.1802
Li2O3Te1,3.6102
Cl1Na1O4,4.4935
Nb8O14Sr1,0.3771
Cl2O6Pb3Te2,2.5598
Al1Cl1H6O4,5.1257
Br3Ga1Li1,2.9853
Ag1I3Rb2,2.8923
Ca4O1Sb2,0.9137
C2H10N2O5,3.3853
Ag4S8Sn3,0.4142
O3U1,2.8862
Fe1Ga3,0.5416
K2Mo3Se18,0.922
Ba4Mn3O10,1.232
O4Pb1W1,3.3148
La1O1P1Zn1,0.8652
As2Ca4O1,1.2039
H3O8Rb1S2,5.6549
C9Fe3O9Te2,1.87
Pb9Rb4,0.3164
Cu3O8V2,0.9701
N4Si3,4.252
Ag1Cl1O2,1.3516
Ba1C2H2O5,3.1630000000000003
Cs1I1,3.6815
C2Cs1H1,4.5735
Ba1Ni2O8P2,3.4921
K1O5P1Ti1,3.3542
Cr1F10Sb1,1.2916
Cu2Ge1S4Zn1,0.6728
C5Fe1H8N6O4,2.7817
F6W1,5.0303
Ba1Cl2,5.1303
Ba1Ho2Ni1O5,1.9959
Bi1Te2Tl1,0.4273
Ag2Br2C3H12N6S3,3.1538
Cl6Cs2Pt1,2.2212
H3O4P1,5.9108
Br1K1,3.8662
In1Na1S2,1.9155
Cd1N6,2.8309
Cl1Eu1F1,3.0258
C6Cs2Fe1K1N6,0.4847
Al6C5Cl12H16O6,5.5045
Cu1F6Sn1,2.1449
H6K2O10Se1Te1,3.4207
C4Hg1Mn1N4S4,2.3168
Cl4S1W1,2.1406
H3Ni1O7S1Y1,2.1248
As2O6Pd1,2.2642
Ca1H8N12O4Rb2,4.2776
I1Li1O3,3.6754
K2O6S2,5.0293
Ba1C2,1.6124
Ga1Li1O6Si2,4.4014
Al1O2Rb1,3.3753
C1I14Zr6,0.7956
H3Na1O3Zn1,3.7181
As4S4,2.3576
Ca3N2,1.1118
Fe1Li2O4Si1,2.8294
Ga1K2Na1P2,1.3458
Cl4O1W1,2.0164
Co1O6Pt3,0.6013
Cs1H2O4P1,5.1461
F6Fe2Rb1,0.9867
Ga2H4K1Ni1O14P3,4.1386
In1Te2Tl1,0.505
Mn2O14P4Si1,4.1208
Cl2Cs1I1,2.339
Ba2Cl7Sc1,4.1613
Cs1I3Mn1,2.5547
Ca1Cu3O12Ti4,1.719
Cu8Fe2O21P4,0.3317
Al1H2Li1O5Si1,4.864
Cs1F1,5.2752
Ba1Cu1Dy2O5,1.457
C1Fe1Na3O7P1,3.2388
Br1Li3O1,4.2806
Dy1S2Tl1,1.5225
Pd1Se1,0.3988
Cr1La1O3,2.0751
Cu1Na1Se1,0.3663
C5Cl1O5Tc1,2.7677
Cl1Cs3O1,1.596
Hg3Se4Tl2,1.0614
Cl3Cr1H12O6,3.0218
Be1H3Li1,4.4113
C2H12N14O1,1.9643
C3S8,1.7013
K1N3O4,2.7173
Hf1N2,0.5872
Al2F1K4Nb11O20,0.654
B2Ba2Cl1Gd1O6,4.0014
Bi1O4Sb1,0.5051
Ir1Ni1O6Sr3,0.6399
Cr1F5Mn1,2.376
Ag1Al1Se2,1.5646
Al1H2Na3O9P2,4.5093
Cl4H13N5O2Ru1Zn1,2.7178
Ba2O8Si2V1,2.3525
Ga1Li1N2Sr1,1.9243
C12N6,3.1072
Dy1O4V1,2.9602
Na1O3Ta1,2.504
Ag1O1,0.3362
C1Mg1N2,3.7609
Al4H8O18Si4,4.9235
Bi1Cl3O3Sr3,4.0625
As2Eu4O1,0.247
Ca1H2O2,4.1003
C2N2S4,2.9528
F1H4N1,5.96
Cl6Te1Tl2,2.5503
Au1Cs1O1,1.658
O2Pt1,2.0533
Cr1Li1O6Si2,3.219
O12U1Y6,2.84
Li1O2Tl1,0.4581
As2K3Nb1O9,3.4928
La2O7Ti2,3.2676
I6S1Sn4,1.391
H2Li1N1,3.1119
O4S1Sn1,3.992
Ca1O2,2.7622
Cl4Co5Mo4Na2O16,2.7792
B2O12Pb6W1,2.4664
Cu1Nd3S7Sn1,1.5461
Ce1O16Zr7,2.7211
B2O7Pb4,2.5359
Al5O12Y3,4.4967
P2S6V2,0.8462
Cl4U1,2.2674
Hg2Mo1O4,1.9781
F5H8N2Nb1O2,4.9624
Cl2N2S1Se2,1.7491
Mo2O8Zr1,2.8293
In2O12S3,3.8882
O5Si1Sr3,3.7832
Cd1H4O4P2,4.468999999999999
As1F1O4Rb1Sc1,4.0264
Ga2O4Zn1,2.8549
Cl12Hf1Se2,2.7880000000000003
Cl18H1Li6Zr6,0.9696
Fe1Sb1V1,0.8366
B1Ca1Li1O3,5.0277
La6O18Re4,0.4973
Cr1O7P2Rb1,2.82
Ca1H4O6S1,5.283
Ho1P1S4,2.1538
Ce3Cu1Ge1S7,1.7138
Ba3In2O16P4,3.8258
Fe2Na3O12P3,2.1177
O3Rb1Ta1,3.717
B1Cd1Li1O3,2.2141
Ca1O3Zr1,3.8241
Al10Ba2H2O18,1.8639
Ca3Cr2O12Si3,3.3536
O4Ti1Zn2,3.1011
Al14O25Sr4,3.9508
Br3Cd1H4N1,2.6224
Ag7P1Se6,0.6704
Hg1N6,2.5722
Bi2O3,0.106
Cr1O4Pb1,1.8163
O8Se2Sr1U1,2.8526
Mo1O3,1.8574
Ge1Mn1Te4Tl2,0.3606
Ce1S2,0.3473
B1O5P1Pb1,4.2822
C3Cl3Cs1O3Os1,3.7058
I1O7Sb5,2.5652
Cd1Te4Tl2,0.1117
Cu1Er1S2,1.9183
Dy2Hf2O7,3.2251
Bi1Na1O2,1.2152
Al4Mg2O18Si5,4.8236
In3Ru1,0.1768
Co1O4Se1,2.7538
Ge1K4O4,2.7865
Cl1N1O6,1.3795
Hg1K6S4,1.7077
Cs4Si4,1.5676
Ge1O3Sr1,3.3222
P2Rb4Se9,1.4233
Co3O8P2,3.5659
